model,engine,concurrency,checks,errors,seconds,checks_per_sec,mean_us,p50_us,p90_us,p95_us,p99_us,max_us,cpu_avg_pct,cpu_max_pct,mem_used_avg_mb,mem_used_max_mb
rbac,cedar,1,8134,0,10.00,813.4,1229.2,1207.9,1392.7,1454.9,1790.7,8054.3,26.4,36.9,38171,38196
rbac,cedar,8,39756,0,10.00,3975.0,2012.2,1852.0,2475.9,2906.7,4711.2,26468.4,76.7,79.1,38094,38121
rbac,cedar,32,59083,0,10.00,5905.9,5416.9,4972.2,7374.8,8538.8,16084.6,34047.8,87.1,88.1,38130,38181
rbac,cedar-eval,1,270112,0,10.00,27011.2,36.9,33.0,44.3,56.8,129.5,6146.3,19.9,26.0,38303,38322
rbac,cedar-eval,8,1119758,0,10.00,111959.1,71.3,58.6,132.4,138.5,167.6,11113.8,78.2,82.9,38523,38560
rbac,cedar-eval,32,1276423,0,10.00,127605.3,249.7,67.5,160.1,199.4,1231.7,243738.8,94.7,95.9,38771,38792
rbac,spicedb-fully_consistent,1,3329,0,10.00,332.8,3004.1,2885.6,3425.2,3773.4,6203.3,10216.8,39.5,46.2,38823,38839
rbac,spicedb-fully_consistent,8,9671,0,10.01,966.6,8273.6,7831.3,11737.6,13257.0,16578.4,26653.5,68.4,77.0,38913,38933
rbac,spicedb-fully_consistent,32,11108,0,10.02,1108.5,28839.9,28057.5,39733.2,43093.5,49054.0,61394.5,70.3,74.7,38881,38929
rbac,spicedb-minimize_latency,1,3716,0,10.00,371.6,2690.9,2569.0,3075.6,3424.6,5672.6,8971.9,40.4,55.4,38333,38355
rbac,spicedb-minimize_latency,8,10373,0,10.01,1036.7,7714.6,7327.1,11020.9,12292.7,15336.6,21862.4,70.5,81.6,38239,38276
rbac,spicedb-minimize_latency,32,11072,0,10.02,1104.9,28938.8,27839.8,37867.1,41171.7,46964.1,63247.8,72.3,76.6,38299,38321
rebac,cedar,1,7779,0,10.00,777.9,1285.3,1264.7,1498.2,1566.4,1769.0,10455.9,29.8,39.5,38267,38289
rebac,cedar,8,43689,0,10.00,4368.3,1830.9,1755.9,2084.6,2288.6,3577.9,8192.0,77.7,81.2,37339,37667
rebac,cedar,32,70289,0,10.00,7025.5,4553.5,4351.2,5718.2,6441.4,8907.2,15639.1,87.1,88.8,37261,37279
rebac,cedar-eval,1,3606901,0,10.00,360689.9,2.7,2.4,3.7,4.4,7.1,3284.8,13.9,20.9,37291,37309
rebac,cedar-eval,8,18532644,0,10.00,1853264.0,4.2,3.5,6.2,8.6,11.9,3905.2,65.2,70.6,37324,37366
rebac,cedar-eval,32,21909987,0,10.00,2190929.4,14.4,4.7,9.4,10.9,18.9,218002.4,93.9,95.7,37480,37502
rebac,spicedb-fully_consistent,1,3642,0,10.00,364.1,2746.0,2635.8,3515.9,3829.5,4783.1,9041.9,39.6,43.0,37352,37370
rebac,spicedb-fully_consistent,8,11422,0,10.01,1141.5,7006.0,6582.2,10554.5,11887.9,15114.9,22757.8,69.9,73.8,37344,37396
rebac,spicedb-fully_consistent,32,12481,0,10.02,1245.7,25666.1,24433.1,38041.0,42872.7,52900.5,72915.9,72.7,80.0,37419,37467
rebac,spicedb-minimize_latency,1,4087,0,10.00,408.7,2446.6,2347.6,3201.8,3524.6,4469.2,7877.7,40.5,42.7,37389,37424
rebac,spicedb-minimize_latency,8,11945,0,10.01,1193.8,6699.1,6287.0,10240.2,11626.9,14497.5,24826.2,70.1,74.0,37458,37484
rebac,spicedb-minimize_latency,32,12773,0,10.02,1275.2,25076.7,23952.6,37611.7,42066.1,50403.2,75205.1,71.6,73.5,37495,37538
abac,cedar,1,17094,0,10.00,1709.3,584.8,576.6,674.2,704.5,776.6,4828.8,30.9,34.3,37405,37417
abac,cedar,8,92182,0,10.00,9217.8,867.6,825.0,1035.4,1150.0,1719.2,6687.1,78.2,82.7,37598,37688
abac,cedar,32,149668,0,10.00,14964.4,2137.7,2041.0,2776.8,3162.9,4415.3,10544.4,88.2,89.4,37599,37623
abac,cedar-eval,1,6370184,0,10.00,637018.2,1.5,1.3,2.0,2.4,3.3,1657.7,16.9,27.4,37569,37593
abac,cedar-eval,8,38756212,0,10.00,3875620.6,1.9,1.8,2.6,3.0,6.7,8993.9,63.5,71.1,37473,37571
abac,cedar-eval,32,49581005,0,10.00,4958085.5,6.2,2.1,3.4,6.3,8.5,242361.5,95.5,97.2,37502,37536
abac,spicedb-fully_consistent,1,5295,0,10.00,529.5,1888.3,1845.5,2084.8,2192.3,2732.9,5790.8,32.2,39.9,37346,37376
abac,spicedb-fully_consistent,8,44811,0,10.00,4480.2,1785.2,1557.8,2752.5,3291.8,4901.4,10006.9,68.4,71.3,37348,37361
abac,spicedb-fully_consistent,32,86083,0,10.00,8605.6,3717.6,3157.0,6553.4,7977.5,10936.0,31028.4,71.9,74.4,37362,37380
abac,spicedb-minimize_latency,1,7826,0,10.00,782.6,1277.6,1450.0,1712.5,1804.4,2178.3,6931.9,31.0,40.2,37343,37363
abac,spicedb-minimize_latency,8,54606,0,10.00,5460.1,1464.9,1185.4,2429.7,2934.1,4268.0,9701.7,68.2,72.6,37347,37360
abac,spicedb-minimize_latency,32,89373,0,10.01,8932.6,3581.4,2995.7,6358.4,7768.7,11162.7,28495.4,73.5,79.2,37404,37465
pbac,cedar,1,12217,0,10.00,1221.7,818.4,807.1,939.8,986.2,1118.3,9557.3,35.0,41.5,37412,37430
pbac,cedar,8,67127,0,10.00,6712.3,1191.6,1145.5,1359.2,1470.4,2295.0,6540.1,77.0,79.2,37379,37391
pbac,cedar,32,105205,0,10.00,10518.2,3041.7,2960.9,3700.8,4071.0,5750.5,11626.4,88.1,89.1,37401,37415
pbac,cedar-eval,1,5099235,0,10.00,509923.3,1.9,1.8,2.3,2.7,4.1,709.3,13.3,22.5,37436,37461
pbac,cedar-eval,8,29827496,0,10.00,2982748.7,2.6,2.3,3.4,3.9,7.6,5280.0,61.7,70.9,37492,37525
pbac,cedar-eval,32,38759378,0,10.00,3875293.6,8.0,3.0,4.3,6.9,9.3,226472.5,97.2,98.5,37609,37853
pbac,spicedb-fully_consistent,1,6075,0,10.00,607.4,1645.9,1751.7,2057.8,2183.2,2658.3,7728.2,36.9,47.5,37454,37489
